ranking,sport,Boulders
735,10 155,9 053
736,10 154,9 052
737,10 153,9 052
738,10 152,9 052
739,10 152,9 052
740,10 150,9 050
741,10 150,9 050
742,10 150,9 050
743,10 150,9 050
744,10 150,9 050
745,10 150,9 049
746,10 150,9 044
747,10 150,9 043
748,10 150,9 040
749,10 148,9 029
750,10 148,9 026
751,10 147,9 017
752,10 147,9 013
753,10 145,9 011
754,10 145,9 010
755,10 140,9 006
756,10 140,9 006
757,10 140,9 004
758,10 140,9 003
759,10 139,9 003
760,10 137,9 003
761,10 137,9 003
762,10 135,9 003
763,10 135,9 003
764,10 132,9 003
765,10 130,9 003
766,10 130,9 003
767,10 130,9 000
768,10 129,9 000
769,10 127,9 000
770,10 127,9 000
771,10 123,9 000
772,10 117,9 000
773,10 115,9 000
774,10 112,9 000
775,10 110,9 000
776,10 110,8 990
777,10 110,8 986
778,10 109,8 972
779,10 106,8 963
780,10 104,8 962
781,10 100,8 962
782,10 100,8 959
783,10 100,8 959
784,10 100,8 958
785,10 100,8 957
786,10 100,8 954
787,10 100,8 953
788,10 100,8 953
789,10 099,8 953
790,10 097,8 953
791,10 097,8 953
792,10 096,8 953
793,10 095,8 951
794,10 095,8 950
795,10 095,8 950
796,10 094,8 950
797,10 092,8 950
798,10 092,8 950
799,10 090,8 950
800,10 089,8 950
801,10 085,8 940
802,10 085,8 916
803,10 081,8 910
804,10 080,8 908
805,10 079,8 908
806,10 078,8 908
807,10 077,8 907
808,10 077,8 906
809,10 075,8 905
810,10 075,8 903
811,10 072,8 903
812,10 072,8 903
813,10 070,8 903
814,10 068,8 903
815,10 067,8 903
816,10 067,8 902
817,10 058,8 902
818,10 056,8 900
819,10 055,8 900
820,10 054,8 900
821,10 054,8 900
822,10 054,8 900
823,10 054,8 900
824,10 054,8 900
825,10 053,8 900
826,10 050,8 885
827,10 050,8 865
828,10 050,8 862
829,10 050,8 860
830,10 050,8 858
831,10 049,8 858
832,10 049,8 856
833,10 048,8 856
834,10 048,8 856
835,10 045,8 853
836,10 045,8 853
837,10 043,8 853
838,10 043,8 852
839,10 042,8 850
840,10 042,8 850
841,10 041,8 850
842,10 040,8 850
843,10 040,8 850
844,10 036,8 850
845,10 035,8 850
846,10 035,8 850
847,10 034,8 850
848,10 033,8 850
849,10 032,8 850
850,10 030,8 850
851,10 030,8 848
852,10 030,8 829
853,10 029,8 824
854,10 027,8 822
855,10 027,8 813
856,10 025,8 811
857,10 024,8 809
858,10 015,8 808
859,10 012,8 806
860,10 010,8 805
861,10 010,8 805
862,10 010,8 805
863,10 007,8 804
864,10 006,8 804
865,10 005,8 804
866,10 005,8 803
867,10 005,8 803
868,10 004,8 803
869,10 003,8 803
870,10 002,8 802
871,10 000,8 802
872,10 000,8 802
873,10 000,8 800
874,9 999,8 800
875,9 998,8 800
876,9 998,8 800
877,9 997,8 800
878,9 997,8 793
879,9 997,8 790
880,9 997,8 777
881,9 995,8 775
882,9 995,8 773
883,9 995,8 770
884,9 995,8 767
885,9 994,8 763
886,9 994,8 758
887,9 994,8 758
888,9 993,8 757
889,9 987,8 755
890,9 983,8 755
891,9 983,8 754
892,9 981,8 753
893,9 980,8 753
894,9 979,8 753
895,9 979,8 753
896,9 977,8 750
897,9 975,8 750
898,9 975,8 750
899,9 974,8 750
900,9 972,8 750
901,9 970,8 750
902,9 955,8 750
903,9 955,8 749
904,9 952,8 743
905,9 952,8 729
906,9 952,8 723
907,9 950,8 720
908,9 950,8 713
909,9 950,8 712
910,9 950,8 711
911,9 950,8 710
912,9 949,8 708
913,9 948,8 708
914,9 948,8 706
915,9 948,8 706
916,9 948,8 706
917,9 948,8 705
918,9 947,8 705
919,9 947,8 703
920,9 947,8 703
921,9 945,8 703
922,9 945,8 703
923,9 945,8 703
924,9 943,8 702
925,9 943,8 700
926,9 942,8 700
927,9 940,8 700
928,9 940,8 700
929,9 940,8 700
930,9 939,8 700
931,9 937,8 700
932,9 937,8 695
933,9 935,8 695
934,9 935,8 695
935,9 930,8 670
936,9 930,8 659
937,9 930,8 659
938,9 930,8 659
939,9 928,8 658
940,9 922,8 658
941,9 921,8 656
942,9 920,8 656
943,9 920,8 656
944,9 915,8 656
945,9 910,8 653
946,9 910,8 653
947,9 906,8 653
948,9 905,8 653
949,9 905,8 653
950,9 904,8 653
951,9 904,8 652
